Nome associazione;Indirizzo;Tipo
A.C.A.T. BALDO GARDA;Via Polderin,4 37014 Castelnuovo del Garda;Culturale
A.F.I. VERONA - ASSOCIAZIONE DELLE FAMIGLIE;Via Milano,5 37014 Castelnuovo del Garda;Culturale
A.I.D.O GRUPPO COMUNALE "GIUSEPPE BANTERLE";Via Milano, ,5 37014 Castelnuovo del Garda;Culturale
A.N.C.R. SEZ. CASTELNUOVO;Via Vespucci,11 37014 Castelnuovo del Garda;Culturale
A.N.C.R. SEZ. CAVALCASELLE;Via verdi,14 37014 Castelnuovo del Garda;Culturale
A.S.D VOLLEY CASTELNUOVO 1982;Via Oregolo,8 37014 Castelnuovo del Garda;Sportiva
'A.S.D. AMATORI SANDRA'' 84';Via Carlo Catteneo ,12 37014 Castelnuovo del Garda;Sportiva
A.S.D. DOGS FOR YOU;Via Filiselle,8 37014 Castelnuovo del Garda;Sportiva
A.S.D. FENGH CHIN;Via Stazione,128/b 37014 Castelnuovo del Garda;Sportiva
A.S.D. LABANDIERAFUTSAL;Via Karl Marx,15 37014 Castelnuovo del Garda;Sportiva
A.S.D. POLISPORTIVA CAVALCASELLE;Via Papini,18 37014 Castelnuovo del Garda;Sportiva
ACCADEMIA MUSICALE SERGIO MARTINELLI-ASS. DI FORMA;Via S. Martino,4 37014 Castelnuovo del Garda;Culturale
AD MAIORA;Via Polderin,15 37014 Castelnuovo del Garda;Culturale
ALCOLISTI ANONIMI;Via Milano,5 37014 Castelnuovo del Garda;Culturale
ALMABIKE;Via Oregolo,8 37014 Castelnuovo del Garda;Sportiva
AMATORI F.C. CAVALCASELLE;Via Mantovana 37014 Castelnuovo del Garda;Sportiva
AMICI DI GIANLUCA ONLUS;Via Trento,43 37014 Castelnuovo del Garda;Culturale
'AMICI PER SANDRA''';Via Pastrengo,78 37014 Castelnuovo del Garda;Culturale
ARMA AREONAUTICA CAVALCASELLE;Via Vespucci,17 37014 Castelnuovo del Garda;Culturale
ASS.AMICI DELLA MUSICA DEL LAGO;Piazza della Libertà,4 37014 Castelnuovo del Garda;Culturale
ASS.AMICI DI GIUSEPPE ONLUS;Via Enzo Ferrari,10 37014 Castelnuovo del Garda;Culturale
ASS.CULTURALE E MUSICALE ATENA;Via Alberetti,9 37014 Castelnuovo del Garda;Culturale
ASS.NE NAZ CARABINIERI SEZ.CASTELNUOVO d/G E PESCHIERA;Peschiera del Garda, via Monte Baldo ,20;Culturale
ASS.NE NAZ. ARTIGLIERI A.N.Art. SEZ.Castelnuovo d/G;Piazza della Libertà,5 37014 Castelnuovo del Garda;Culturale
ASSOCIAZIONE " T.I.B.I.A.";Via Testi,22 37014 Castelnuovo del Garda;Culturale
ASSOCIAZIONE ANZIANI POMERIGGI DANZANTI;Via Polderin,4 37014 Castelnuovo del Garda;Culturale
ASSOCIAZIONE ARCOBALENO;Lazise, Via Possoi,3;Culturale
ASSOCIAZIONE BERSAGLIERI SEZIONE DI CASTELNUOVO DEL GARDA;Via Generale Zamboni,17 37014 Castelnuovo del Garda;Culturale
ASSOCIAZIONE CARNEVAL DE CASTELNOVO;Via Milano,5 37014 Castelnuovo del Garda;Culturale
ASSOCIAZIONE CIRCOLO COMITATO "LA BANDIERA OLIOSI";Via Custoza,37 37014 Castelnuovo del Garda;Culturale
'ASSOCIAZIONE CULTURALE ARTE DANZA CITTA'' DI CASTELNUOVO DEL GARDA';Piazza Angelini 37014 Castelnuovo del Garda;Culturale
ASSOCIAZIONE CULTURALE PASTA E CICCIA;Via Giotto,4 37014 Castelnuovo del Garda;Culturale
ASSOCIAZIONE FANTI CASTELNUOVO D/G;Via Milano,5 37014 Castelnuovo del Garda;Culturale
ASSOCIAZIONE PESCA SPORTIVA CASTELNUOVO DEL GARDA;'Via ca'' Brusà,20/b 37014 Castelnuovo del Garda';Sportiva
ASSOCIAZIONE SPORT IN PIAZZA;Via Milano,5 37014 Castelnuovo del Garda;Sportiva
AUSER DI CASTELNUOVO DEL GARDA ODV;Piazza della Libertà,4 37014 Castelnuovo del Garda;Culturale
BANDA CITTADINA DI CASTELNUOVO D/G;Via Castello,19 37014 Castelnuovo del Garda;Culturale
CARITAS PARROCCHIALE CAVALCASELLE;Via Belfiore,2 37014 Castelnuovo del Garda;Culturale
CARITAURI;VAleggio sul Mincio, Via Scarpina,5;Culturale
CASTELNUOVO BASKET ASD;Via Monte,4 37014 Castelnuovo del Garda;Sportiva
CIRCOLO "NOI SAN GIUSEPPE APS";Via Umberto 1°,46 37014 Castelnuovo del Garda;Culturale
CLICK AMICI DELLA FOTOGRAFIA;Via Canove,38 37014 Castelnuovo del Garda;Culturale
COMITATO "FESTEGGIAMENTI CAMALAVICINA";Via Mazzini,12 37014 Castelnuovo del Garda;Culturale
CROCE ROSSA ITALIANA COMITATO BASSO GARDA VERONESE ODV;Via Maria Gaetana Agnesi,59 37014 Castelnuovo del Garda;Culturale
FEVOSS;Via Pastrengo 37014 Castelnuovo del Garda;Culturale
FIDAS VERONA SEZIONE CASTELNUOVO DEL GARDA;Via Milano,5 37014 Castelnuovo del Garda;Culturale
G.D.S. GARDA DANZE;Via Campagna,2 37014 Castelnuovo del Garda;Sportiva
