Nome associazione;Indirizzo;Tipo
A.C. Colà;Via Malcanton, 27, 37017 Colà VR;Sportiva
A.C.A.T. - Baldo Garda;;Culturale
A.B.C.S. - Associazione Bertoni per la Cooperazione e lo Sviluppo;Via Paiari,23;Culturale
A.D.A.  S. Amici degli animali nel Sociale;;Culturale
A.I.D.O. - Sez. Lazise;Viale Roma, 3, Lazise;Culturale
A.L.A. - Ass. Albergatori di LAZISE;Via Valle,3 ;Associativa
"A.M.O. - BALDO GARDA ""Miki De Beni"" - O.N.L.U.S.";Str. Campazzi, 17, Bardolino 37011;Associativa
A.P.S. Olivi;Loc. Pigneto,3;Sportiva
A.S.D. 1° Maggio su Coraggio;Strada della Sabbionara, 21 Lazise;Sportiva
A.S.D. Amatori Calcio Pacengo;Via Croce Papale,57;Sportiva
A.S.D. LAZISE;Via dello Sport, 37017 Lazise VR;Sportiva
A.V.I.S. Comunale di Lazise;Viale Roma, 3, Lazise;Culturale
Agricoltori Lazise ODV;Via Valesana, 35 – 37017 Lazise (VR);Associativa
"Associazione ""Palo della Cuccagna del Cadenon""";;Sportiva
Associazione Alpini - Colà;Loc. Monticoli,4 Lazise;Arma
Associazione Alpini - Lazise;Via Chiesa,1;Arma
Associazione Alpini - Pacengo;Via Peschiera,12;Arma
Associazione Anziani - Lazise;Corso Cangrande,7/A;Arma
Associazione Arcobaleno;Vicolo Possoi,3;Culturale
ASSOCIAZIONE CARABINIERI IN CONGEDO;Via Milano, Lazise ;Arma
ASSOCIAZIONE COMBATTENTI E REDUCI;Via Dosso,43 Lazise;Arma
Associazione Culturale e Musicale ATENA;Via Alberetti, 9 Castelnuovo del Garda;Culturale
"Associazione Culturale Vittorio Bozzini ""Bella Musica""";Via Possoi, 50 Lazise;Culturale
Associazione Marinai d'Italia;Viale Roma,3 Lazise;Arma
Associazione Nazionale Artiglieri d’Italia - sez. di Lazise;Viale Roma,3 Lazise;Arma
Associazione Paracadutisti - Lazise;;Arma
Associazione Rosa Gallo;;Culturale
Associazione Rurale Italiana - ARI;Corte Palù della Pesenata, 5, 37017 Colà di Lazise VR;Culturale
Associazione San Martino in Calle;Viale Roma,3 Lazise;Associativa
Associazione Sportiva Dilettantistica RI-SALTA;Via Salvo d’Acquisto, Lazise;Sportiva
Associazione Le Sgalmare ;P.zza di Sopra, 16, 37017 - Colà di Lazise (VR);Sportiva
Assogardacamping ;Via XXV Aprile - Cavalcaselle,50/52;Associativa
Circolo Velico Pacengo A.S.D. ;Piazzale Porto, 2, 37017 Pacengo di Lazise;Sportiva
Coro Costabella;Via Roarlongo,14;Associativa
DIMENSIONE ARTE E MUSICA - D.A.M.;Via Salvo D'Acquisto, 37017 Lazise VR;Sportiva
Gruppo CTG El Vissinel;;Culturale
Gruppo Marciatori - Pacengo;Loc. Ca’ del Diavolo,1;Sportiva
Gruppo Sportivo Amatori - Colà ;Via Don, 6 Lazise;Sportiva
LIBERA ASS. SPORT. D.H.W;;Sportiva
Libera Associazione Esercenti Lazise - L.A.E.L. ;Piazza Vittorio Emanuele II, 5;Associativa
Libera Contrà del Marciapiè;;Culturale
Università Popolare di Istruzione e Formazione - UPIF;;Culturale
"Associazione ""Wonderlake""";Via Mantovana, 20 Lazise;Culturale
A.S.D. Bodhi;Via Barbieri n. 14 - Lazise (Vr),;Sportiva
