Nome associazione;Indirizzo;Tipo
ASD VOLLEY 88;VIA RISORGIMENTO, 86 Pescantina;Sportiva
XXL PALLACANESTRO A.D.;VIA RISORGIMENTO, 86 Pescantina;Sportiva
ASD CANOA CLUB PESCANTINA;VIA PONTE, 116 Pescantina;Sportiva
ASD NUOVA POLISPORTIVA PESCANTINA;VIA RISORGIMENTO, 86 Pescantina;Sportiva
ASD US AUSONIA CSI PESCANTINA;C.SO SAN LORENZO;Sportiva
ASD ATLETICA ADIGE;VIA PONTE, 120 Pescantina;Sportiva
ASD OSPEDALETTO;VIA PONTE 16/18 Pescantina;Sportiva
ASD JUDO CLUB PESCANTINA;VIA RISORGIMENTO, 86 Pescantina;Sportiva
ASD NIPPON CLUB PESCANTINA;VIA MADONNA, 19 Pescantina;Sportiva
ASD LA PUNTA DEL SOLE;VIA SCUOLE, 41 Pescantina;Sportiva
 VERONA MTB SCHOOL ASD;V.LE VERONA, 48   Pescantina ;Sportiva
ASD TEAMXGIOCO;VIA PIAZZOLA, 39     Pescantina;Sportiva
ASD PESCANTINA-SETTIMO SCUOLA CALCIO SPECIALIZZATA;VIA MONTI LESSINI, 1    Pescantina;Sportiva
POL. TEAM SAN LORENZO PESCANTINA ASD;C.SO SAN LORENZO, 35/A Pescantina;Sportiva
ASD GRUPPO PODISTICO LA RUSTICA;VIA RISORGIMENTO, 86 Pescantina;Sportiva
ASD PUMAS;VIA SIEDLCE, 12 Pescantina;Sportiva
ASD ACCADEMIA FABIO SCOLARI;VIA G. PASCOLI, 10   Pescantina;Sportiva
ASD FACEGYM SNC;VIA MIRANDOLA, 13/A    Pescantina;Sportiva
ASD SPERI FIGHT CLUB;VIALE VERONA 46/B Pescantina;Sportiva
ASD TAMBURELLO SETTIMO;VIA BERTOLDI Settimo di Pescantina;Sportiva
ASD ARENA;VIA BERNARDI N. 7 Settimo di Pescantina;Sportiva
ASD E CULTURALE LAB. ART E SPETTACOLO;VIA OSPEDALETTO N 107;Sportiva
ASSOCIAZIONE CULTURALE G. B. BERTOLDI;VIA BERTOLDI, 13    Pescantina;Culturale
GRUPPO POPOLARE CONTRADE;VIA MONS. VICENTINI, 27     Pescantina;Culturale
GRUPPO CORALE POPOLARE LA RESELA;VIA PONTE, 93/A   Pescantina;Culturale
CORO MONTI LESSINI;VIA PRETURA,21   Pescantina;Culturale
ASSOCIAZIONE CULTURALE  NERO SU BIANCO;VIA S. D'ACQUISTO, 92    Pescantina;Culturale
ASSOCIAZIONE CULTURALE     GENTE E TERRITORI   sez. Pescantina;C.SO CAVOUR, 7         Zevio;Culturale
PROLOCO OSPEDALETTO;VIA OSPEDALETTO, 33    Pescantina;Culturale
ASS. CULTURALE GRUPPO SAN MICHELE;VIA BELVEDERE, 1   Pescantina;Culturale
ASSOCIAZIONE PESCANTINA DELLE IDEE;VIA PONTE, 95      Pescantina;Culturale
ASS.NE  VESPA CLUB PESCANTINA;VIA POMPEA, 31/e  S.Lucia;Culturale
COMITATO SAGRA BALCONI;VIA SAN PIETRO MARTIRE, 1      Pescantina;Culturale
MOVIMENTO GIALLO BLU PESCANTINA;VIA PRESE, 28/E      Pescantina;Culturale
ASSOCIAZIONE CULTURALE  I MUSICI DI SANTA CECILIA  ;VIA GIRELLI, 3                    Pescantina;Culturale
ASSOCIAZIONE CULTURALE CEA GUIDO BIANCHI;VIA BORGO, 70 Pescantina;Culturale
ASSOCIAZIONE CULTURALE  IL GIARDINO DEI SOGNI  ;VIA A. BERTOLDI, 84 Pescantina;Culturale
ASSOCIAZIONE TAM TAM TERRA  ;VIA MADONNA, 66/A   Pescantina;Culturale
MOVIMENTO  AMBIENTE E VITA;VIA ROMA, 13            Pescantina;Culturale
ASS.NE QUADRIFOGLIO ;VIA CHIESA VECCHIA, 2;Culturale
ASD SPORT X GIOCO;VIA PIAZZOLA, 39     Pescantina;Culturale
HAKUNA MATATA A.P.S.;VIA MONTI LESSINI N.14 Pescantina;Culturale
ASSOCIAZIONE CULTURALE MOMENTI PER CRESCERE  ;VIA BELVEDERE, 51/F  Pescantina;Culturale
ASSOCIAZIONE CULTURALE MUSICALE  DIE JUNGE KLASSIZITAT  ;VIA PIAZZOLA N.43 Pescantina;Culturale
ASSOCIAZIONE CULTURALE  AD PUNCTUM  ;VIA G.MARCONI N.42 Pescantina;Culturale
ASSOCIAZIONE CULTURALE PESCANTINA EVENTI;VIA MADONNA N.90 Pescantina;Culturale
I VOLONTARI DI ARCE';VIA BELVEDERE 27 I;Culturale
