Nome associazione;Indirizzo;Tipo
ACD Sommacustoza 08;Via Bassa 1 - Sommacampagna;Associazione Sportiva
ACSD Ballet Studio;c/o centro sociale, via Scuole 49, 37066 Caselle di Sommacampagna;Associazione di danza
Agesci Gruppo Sommacampagna 1;Via 2 Giugno,37066 Sommacampagna;Associazione scout
APS Noi Custoza;"Via XXIV Maggio 16,37066 Custoza diSommacampagna
";Circolo Parrocchiale
APS NOI La Fonte;Via Roma n. 65, 37066 Caselle di Sommacampagna;Circolo Parrocchiale
APS NOI La Quercia;Via Pasquetti 6, c/o sala parrocchiale, 37066 Sommacampagna;Circolo Parrocchiale
APS Polo Culturale Caselle;Via Scuole 49, 37066 Caselle di Sommacampagna;Associazione culturale
APS Schola Cantorum Sant'Andrea Apostolo di Sommacampagna;Piazza Roma, 31, 37066 Sommacampagna VR;Associazione culturale
APS Scuola di Musica e Teatro Antonio Salieri;Via Scuole 49, 37066 Caselle di Sommacampagna;Associazione culturale
ASD Bike Team Caselle;Via Roma, 58, 37066 Caselle VR;Associazione Sportiva
ASD Centro Basket Sommacampagna;Via Bassa 1 - Sommacampagna;Associazione Sportiva
ASD Cicloamatori AVIS Sommacampagna;Via Bassa 1 - Sommacampagna;Associazione Sportiva
ASD Dancexperience;Via Giuseppe Saragat 9, 37066 Sommacampagna;Associazione di danza
ASD Laboratorio Arti Coreografiche;Via dell'Artigianato 38,37066 Caselle di Sommacampagna;Associazione di danza
ASD La Grande Sfida Onlus;Palestra del CentroPolisportivo di Via Bassa n. 1, 37066 Sommacampagna;Associazione di utilità sociale
ASD Marciatori Agriform;Via Ugo La Malfa 9, 37066 Sommacampagna;Associazione sportiva
ASD Polisportiva Caselle;Piazza dei Donatori, 3 - 37066 Caselle di Sommacampagna / VR;Associazione sportiva
ASD Polisportiva Caselle Settore Pallavolo;Piazza dei Donatori, 3 - 37066 Caselle di Sommacampagna / VR;Associazione sportiva
ASD Promosport;Via Bassa 1 - Sommacampagna;Associazione Sportiva
ASD Società Ciclistica Polisportiva Caselle;Via Scuole 47, 37066Caselle di Sommacampagna;Associazione Sportiva
ASD Suegno Latino Danza;Via Lugagnano 7, 37066 Caselle di Sommacampagna;Associazione di danza
Associazione Crèa;Via Lugo 2, 37066 Custoza di Sommacampagna;Associazione Culturale
Associazione Culturale Creatività Scultorea;Via Bassa, 37066 Sommacampagna;Associazione Culturale
Associazione Culturale Internazionale di Musica e Arte, no profit SferMusic;Via Leonardo da Vinci 1, 37066 Sommacampagna;Associazione Culturale
Associazione Culturale La Pieve;Via Sabaina 19, 37066 Sommacampagna;Associazione Culturale
Associazione Culturale La Valle dei Cavalli;Via Ugo Foscolo 6, 37066 Sommacampagna;Associazione Culturale
Associazione Culturale Mamaninfea;Via Crocetta 2, 37066 Sommacampagna;Associazione Culturale
Associazione Famiglie con portatori di handicap;Via 2 Giugno,37066 Sommacampagna;"Associazione di promozione sociale
"
Associazione Produttori Broccoletto di Custoza;Via 24 Maggio, 6,37066 Custoza;"Associazione promozione del territorio
"
Associazione Volontari di Protezione Civile Sommacampagna;Via Scuole 47, 37066Caselle di Sommacampagna;Gruppo Protezione Civile
Centro ricreativo culturale anziani di Sommacampagna;Piazza della Repubblica n. 2, 37066 Sommacampagna;"Associazione culturale e di promozione sociale
"
Comitato Aiutamoli a Vivere di Caselle;Via Degli Alpini 29, 37066 Caselle di Sommacampagna;"Associazione  di promozione sociale
"
Comitato Benefico SommaViva;Via Salgari 1 - 37066Sommacampagna;Associazione Culturale
Comitato Madonna del Monte;Via 2 Giugno 10, 37066 Sommacampagna;"Associazione promozione del territorio
"
Comitato Sagra San Luigi di Caselle;Sala ritrovo “Casa Lidia Mazzi” Via Roma 73, 37066 Caselle diSommacampagna;"Associazione culturale e promozione del territorio

"
"Corale Parrocchiale ""Don Pietro Gottardi""";Via Roma 65, 37066 Caselledi Sommacampagna;Associazione Culturale
Corpo Bandistico di Sommacampagna;Via Campagnol 8/A, 37066Sommacampagna;Associazione Culturale
Fidas Verona - Sezione Caselle;Piazza dei Donatori 2/a,37066 Caselle diSommacampagna;"Associazione  di promozione sociale
"
Gruppo Amici Sciatori Sommacampagna;Via Cesare Battisti 16,37066 Sommacampagna;Associazione Sportiva
ODV Associazione Missionaria Sommacampagna;Via del Commercio 28, 37066 Sommacampagna;"Associazione  di promozione sociale
"
ODV Avis Sommacampagna;Via Parco della Rimembranza n° 1, 37066 Sommacampagna;"Associazione  di promozione sociale
"
Pro Loco di Custoza;Via Giuseppe Lugo 2, 37066 Custoza di Sommacampagna;"Associazione culturale e promozione del territorio

"
Associazione Combattenti e Reduci - Sezione di Caselle;Via Pirandello 12,37066 Caselle diSommacampagna;Associazione d'Arma
Associazione Combattenti e Reduci - sezione di Sommacampagna;Via Manzoni 2, 37066Sommacampagna;Associazione d'Arma
"Associazione Nazionale del Fante - Sezione ""Guido Montresor"" - Caselle"; Via Scuole 49, 37066Caselle di Sommacampagna;Associazione d'Arma
Associazione Nazionale Interalleati Combattenti d'Italia (A.N.I.C.I.) e Gruppo Bersaglieri;Via Antonio Gramsci n. 5, 37066 Sommacampagna;Associazione d'Arma
Gruppo Alpini di Sommacampagna;Via Alcide De Gasperi 7,37066 Sommacampagna;Associazione d'Arma
