Nome associazione;Indirizzo;Tipo
Polisportiva Pizzoletta;Via Piave;Polisportiva
Polisportiva La Rizza;Via F.lli Zuanetti;Polisportiva
Polisportiva Quaderni;Via S. Pellico, 1/A;Polisportiva
Polisportiva Caluri;Via Caluri, 6;Polisportiva
Polisportiva Rosegaferro;Via Dossi di Prabiano, 49;Polisportiva
Polisportiva Alpo;;Polisportiva
Polisportiva Olimpica Dossobuono;Via San Paolo, 21;Polisportiva
ACD Olimpica Dossobuono;Via G. Verne, 1;Ass. Sportiva
ASD Tennis Dossobuono;Via Brigate Alpine;Ass. Sportiva
Società Bocciofila Dossobuono;Via Brigate Alpine, 64;Ass. Sportiva
Polisportiva Azzurra;Via della Speranza;Polisportiva
ASD Hockey Villafranca;Via Porta, 16;Ass. Sportiva
ASD Villafranca Veronese;Via Porta, 14;Ass. Sportiva
ASD Tennis Villafranca;Via Porta, 16;Ass. Sportiva
"ASD Tamburello ""Barlottini""";Via Porta, 16;Ass. Sportiva
Villafranca Sport S.r.l.;Piazzale Olimpia;Ass. Sportiva
Polisportiva San Giorgio;P.le Madonna del Popolo;Polisportiva
ASD Alpo Basket;Via cadellora, 17;Ass. Sportiva
ASD Volley Dossobuono;Via San Paolo, 21;Ass. Sportiva
ASD Quadri Volley;Via San Luca, 18/A;Ass. Sportiva
ASD Dossobuono Basket;Via Frassini;Ass. Sportiva
ASD Dual Volley;Via Sn Luca, 18/A;Ass. Sportiva
ASD Volley Villafranca;Via Portogallo, 7;Ass. Sportiva
ASD Pallamano Dossobuono;Via Santuario della Salute, 43;Ass. Sportiva
ASD Villafranca Baseball e Softball;Via Tito Speri, 15/B;Ass. Sportiva
ASD Sky Club Villafranca;;Ass. Sportiva
ASD Atletica Villafranca;Via Don Fumano, 18;Ass. Sportiva
AZ4 Villafranca Calcio A 5;Via Monte Baldo, 59;Ass. Sportiva
AC Alpo Club 98;Via Comotto, 65;Ass. Sportiva
ASD Dorial;Via Rizza, 256;Ass. Sportiva
Società Ciclistica Olimpica Dossobuono;Via dell'Artigianato;Ass. Sportiva
GP Miglioranza;Via dei Colli, 61;Ass. Sportiva
GP (Tagicar) Villafranca;Via dei Colli;Ass. Sportiva
GP Il Pellicano;;Ass. Sportiva
Fudoshin Ryu;Via Bellotti, 13;Ass. Sportiva
ASD Arti Marziali Villafranca;Via Volpare;Ass. Sportiva
ASD Judo Karate Sommavilla;Via A. Moro, 3;Ass. Sportiva
GS Tai Chi;Via Borgobello, 61/A;Ass. Sportiva
Accademia Aikido;Via Zantedeschi, 3;Ass. Sportiva
Ni Sente Nashi;Via Centurare, 18;Ass. Sportiva
ASD Gad;;Ass. Sportiva
ASD Tennis Alpo;;Ass. Sportiva
Golf Villafranca;;Ass. Sportiva
Hotel Antares;;Ass. Sportiva
ASD Freedog;Loc. Le Chè;Impianto Sportivo Privato
Body Energie;Via Adamello, 1;Palestra Privata
Snatch;;Palestra Privata
Gymnasium;Galleria Metropol;Palestra Privata
"ACAT Villafranca ""Castel Scaligero""";Via Fantoni, 1;Ass. Socio Assistenziale
AIDO Sezione di Dossobuono;Via Sant'Andrea, 1/A;Ass. Socio Assistenziale
AIDO Sezione di Villafranca;Via N. Bixio, 110;Ass. Socio Assistenziale
Aiutiamoli a Vivere Dossobuono;Via A. Tubini, 20;Ass. Socio Assistenziale
ANA Protezione Civile Zona Mincio;Via Custoza, 75;Ass. Socio Assistenziale
ANAS;Via G. Zuliani, 15;Ass. Socio Assistenziale
ANTEAS San Pietro;Viale Postumia, 79;Ass. Socio Assistenziale
ARCAD Associazione Realizzazione Comunità Alloggio Disabili;Via Pace, 13;Ass. Socio Assistenziale
ASFA Donatori di Sangue San Francesco d'Assisi - Rizza;Via Don N. Mazza, 11;Ass. Socio Assistenziale
Associazione Alzheimer Italia Verona Onlus;Via Quadrato, 98;Ass. Socio Assistenziale
"Associazione ""Amici di San Francesco""";Via Rizzini, 4;Ass. Socio Assistenziale
"Associazione ""La Casa di Elena""";Via Mazzini, 253;Ass. Socio Assistenziale
"Associazione ""La Seconda Primavera""";Via Crispi, 1;Ass. Socio Assistenziale
Associazione Proposte Sociali Onlus;Via Roma, 1;Ass. Socio Assistenziale
Associazione Cattolica Alpo;Via Ognissanti, 1;Ass. Socio Assistenziale
Associazione Cattolica Dossobuono;Via Veneto, 20;Ass. Socio Assistenziale
Associazione Cattolica Villafranca;Via Quadrato, 33/B;Ass. Socio Assistenziale
Caritas Parrocchiale Duomo;P.zza Giovanni XXIII, 5;Ass. Socio Assistenziale
Centro Sociale Pizzoletta;Via Duca degli Abruzzi, 97;Ass. Socio Assistenziale
CI.RI.CU.PE Circolo Ricreativo Culturale Anziani Caluri;Via del Capitello, 17;Ass. Socio Assistenziale
Circolo AUSER APS Lorenzo Massari;Via Rinaldo, 9/A;Ass. Socio Assistenziale
Circolo Anziani Dossobuono;Via C. Collodi, 29;Ass. Socio Assistenziale
Circolo NOI Arcobaleno Quaderni;Via G. Mazzini, 84;Ass. Socio Assistenziale
Comitato Benefico Ricreativo Alpo;Via A. Poiani, 7;Ass. Socio Assistenziale
Comunità Emmaus;Loc. Emmaus, 1;Ass. Socio Assistenziale
Croce Verde Sezione di Villafranca di Verona;Via Postumia, 14;Ass. Socio Assistenziale
Duchenne Parent Project Italia;Via N. Bixio, 202;Ass. Socio Assistenziale
F.A. Familiari Anonimi;Via Valle, 51;Ass. Socio Assistenziale
Fidas Alpo;Via Comotto, 36/E;Ass. Socio Assistenziale
Fidas Dossobuono;Via Alessandri, 54;Ass. Socio Assistenziale
Fidas Quaderni;Via C. Poma, 7/C;Ass. Socio Assistenziale
Fidas Rosegaferro;Via Don L. Sturzo, 4/C;Ass. Socio Assistenziale
Fidas Villafranca;Via F. Vivenza, 4/A;Ass. Socio Assistenziale
GASQ Gruppo Attività Sociali Quaderni;Via Kennedy, 30;Ass. Socio Assistenziale
"Gruppo Aiuto Terzo Mondo ""R. Zago""";Via Mariotto, 33;Ass. Socio Assistenziale
Gruppo Missionario Alpo;Via C. Alberto, 26;Ass. Socio Assistenziale
"Gruppo Missionario ""Don Girelli"" Rosegaferro";Via P. Amedeo. 120/A;Ass. Socio Assistenziale
Gruppo Missionario Duomo Villafranca;P.zza Giovanni XXIII, 5;Ass. Socio Assistenziale
Gruppo Missionario Giovanile per il Terzo Mondo;Via G. Mazzini, 126;Ass. Socio Assistenziale
Le Cicogne;C.so V. Emanuele II, 35;Ass. Socio Assistenziale
Associazione Piccola Fraternità;Piazzale Don Girelli, 2;Ass. Socio Assistenziale
Polo Emergency Amici del Volontariato;Via Milazzo, 2;Ass. Socio Assistenziale
Punto d'Incontro Centro Prelievi;Viale Europa, 26-28;Ass. Socio Assistenziale
Reparto Volo Emergenze ;Via Palermo, 3;Ass. Socio Assistenziale
San Vincenzo Dossobuono;Via Nogare, 55;Ass. Socio Assistenziale
San Vicenzo Villafranca;Via Tione, 42;Ass. Socio Assistenziale
Sesta Opera;Via Madonnina, 8;Ass. Socio Assistenziale
SOS Casa Cooperativa Sociale Onlus;Via Caduti sul Lavoro, 9/A;Ass. Socio Assistenziale
UNITALSI Alpo;Via Ognissanti, 18;Ass. Socio Assistenziale
UNITALSI Dossobuono;Via Borgobello, 43;Ass. Socio Assistenziale
UNITALSI Villafranca;Via del Fante, 3;Ass. Socio Assistenziale
Associazione Famiglie con Portatori di Handycap Onlus;Vicolo E. Toti, 3;Ass. Diverse Abilità
Associazione Gioco Anch'io;Via Catania, 16;Ass. Diverse Abilità
"Associazione Volontari ""Opero Silente"" Onlus";Via Trento, 34;Ass. Diverse Abilità
Centro Socializzazione Onlus;Via Cantore, 6;Ass. Diverse Abilità
Fondazione Historie Onlus;Via Roma, 1;Ass. Diverse Abilità
Associazione Amici Casa San Benedetto;Via Spallanzani, 26;Ass. Famiglia
Associazione Famiglie in Rete;Via Sommacampagna, 72;Ass. Famiglia
Associazione Famiglie per l'Accoglienza - Regioen Veneto;Via Spallanzani, 26;Ass. Famiglia
Associazioen FIABA Famiglie Insieme per l'Adozione di Bambini e Adolescenti;Via Molini, 14;Ass. Famiglia
Associazione Parialmone - Genitori a Confronto;Via Vertua, 1/B;Ass. Famiglia
CEPEF Consultorio Familiare San Rocco - Centro Aiuto Vita;Via G. Bellotti, 4/B;Ass. Famiglia
Circolo NOI S. Gaspare Bertoni Alpo;Via C. Alberto, 19;Ass. Famiglia
MASCI Movimento Adulti Scouts Italiani Comunità Drop Out;Via S. Eurosia, 3;Ass. Famiglia
AGESCI Villafranca;;Ass. Giovanile
"Associazione ""Il Quadrifoglio""";Via A. Porta, 8/B;Ass. Giovanile
"Associazioen ""IMPULSII"" ";Via A. Fogagnolo, 8;Ass. Giovanile
"Associazione ""Meeting""";Via A. Gramsci, 45;Ass. Giovanile
"Associazione ""The Folb""";Via P. Bembo, 38;Ass. Giovanile
Centro Giovanile NOI Dossobuono;;Ass. Giovanile
Circolo NOI Duomo;P.zza Giovanni XXIII, 6;Ass. Giovanile
Circolo NOI L'Incontro Pizzoletta;Via Frassini, 57;Ass. Giovanile
Circolo NOI Madonna del Popolo;Via Pozzomoretto, 2/A;Ass. Giovanile
Circolo NOI S. Gaetano Rizza0;Via A. Poiani, 48;Ass. Giovanile
