Nome associazione;Indirizzo;Tipo
AMATORI CALCIO SONA A.S.;Via Gramsci, 14;Sportiva
ASSOCIAZIONE CICLISTICA DI SONA;Via Donizetti, 33;Sportiva
ASSOCIAZIONE TENNIS LUGAGNANO;Via Cesare Battisti, 5;Sportiva
CALCIO A 5 LUGAGNANO A.S.;Via Don Minzoni, 12;Sportiva
CICLO CLUB LUGAGNANO A.S.D.;Via Reno, 2/B;Sportiva
DIVERSAMENTE IN DANZA A.S.D.;Via Papa Giovanni Paolo II, 11;Sportiva
U.C.D. LUGAGNANO;Via Brennero, 22/A;Sportiva
NIPPON CLUB KARATE A.S.D.;Via Angiolieri, 1;Sportiva
PALLACANESTRO LUGAGNANO A.S.D.;Via Brennero, 4/2;Sportiva
POLISPORTIVA PALAZZOLO;Via Angiolieri, 1;Sportiva
POLISPORTIVA SAN GIORGIO;Via Segradi, 19;Sportiva
A.C.D. AUSONIA SONA UNITED;Via Angiolieri, 1;Sportiva
CENTRO DANZA EQUILIBRIUM;Via Manzoni, 15;Sportiva
SCUOLA DI KARATE LUGAGNANO A.S.D.;Via Di Mezzo, 20;Sportiva
G.S. LUGAGNANO;Via S. Isidoro, 3;Sportiva
TEAM BIKE ADFRUIT;Via Beccarie, 11;Sportiva
AC SONA;Via La Sorgente, 16;Sportiva
WEST VERONA RUGBY UNION A.S.D.;Via Raffaello, 2;Sportiva
VOLLEY PALAZZOLO ASD;Via Angiolieri, 1;Sportiva
BARLOTTINI LUGAGNANO ASD SC;Via De Gasperi, 23;Sportiva
DANZAGIOCANDO A.S.D.;Via De Amicis, 9;Sportiva
GRUPPO SPORTIVO MARCIATORI LUGAGNANO;Via Caduti del Lavoro, 1;Sportiva
LOVERS PALAZZOLO A.S.D.;Via Angiolieri, 1;Sportiva
VERONA RUGBY SEVEN ASD;Via Stazione, 9;Sportiva
VERONA RUGBY SEVEN ASD;Via Stazione, 9;Sportiva
ROUVER A.S.D.;Via G. Verdi, 5;Sportiva
A.S.D.VIVOSPORTLUGAGNANO;Via Marco Polo 16;Sportiva
GUPPO TEATRALE POLVERE MAGICA;VIA BELLARIA DI SOPRA,2;Culturale
GRUPPO LA TORRE;VIA CECCO ANGIOLIERI, 1;Culturale
(E)VENTO TRA I SALICI;VIA CELA' ,53;Culturale
CORO IL MIO PAESE;VIA TIZIANO, 32;Culturale
CORPO BANDISTICO DI SONA;VIA RISORTA, 4;Culturale
LA ZATTERA;VIA MATTEOTTI, 27/A;Culturale
ROCKEN;VIA CASA BIANCA, 3/2;Culturale
LA MONTAGNA SI PROIETTA IN COLLINA;PIAZZA VITTORIA, 9;Culturale
EMPORIO MALKOVICH;VICOLO BERTACHINA, 18;Culturale
ENGLISH BY DOING;Via Campagnola 6/A;Culturale
APS CULTURALMENTE VR;Via La Sorgente, 3;Culturale
ARCI GIANO’S LAB;Via Cao del Prà 39/d;Culturale
CARNEVALE BENEFICO LO TZIGANO-LUGAGNANO;VIA DON FRACASSO, 3;Associative
A.V.I.S LUGAGNANO;VIA XXVI APRILE, 8;Associative
CIRCOLO NOI LUGAGNANO;VIA DON FRACASSO, 3;Associative
CLUB ENOLOGICO CULTURALE;VIA MANCALACQUA,83/A;Associative
IL DONO;Via D.Fracasso 3;Associative
MUSEO STORICO BAITA MONTEBALDO;VIA CADUTI DEL LAVORO, 4;Associative
CORO AMICI DELLA BAITA;VIA CADUTI DEL LAVORO,4;Associative
SONA IN QUATTRO PASSI;VIA GESUITI, 2;Associative
COM. GENITORI IST. COMPRENSIVO SONA;VIA PERGOLESI c/o Scuola Virgilio;Associative
ASSOCIAZIONE CAV. ROMANI;VIA ROMA, 21;Associative
PROLOCO SONA;VIA MONTECORNO,11;Associative
Gruppo Micologico e Ambientale;Via Caduti del Lavoro, 4;Associative
MANCALACQUA PROJECT;Via Volturno, 8;Associative
COMITATO PARCO FRANCO CONTI;Via A. Vespucci 15;Associative
ANTS ONLUS PER L'AUTISMO;Via Gen Graziani, 13;Associative
GRUPPO FIBROSI CISTICA;P.le A.Stefani, 1;Associative
FIDAS VERONA Sezione SAN GIORGIO IN SALICI;Via Don Castello;Associative
A.V.I.S. SEZ. SONA;VIA DONIZETTI, 25/C;Assistenziale
SOS SERVIZIO OPERATIVO SANITARIO;PIAZZA VITTORIA, 10;Assistenziale
CENTRO AIUTO VITA;Via Don Fracasso, 3;Assistenziale
UNITALSI SOTTOSEZIONE DI VERONA;Via Casetta di S. Giorgio, 3;Assistenziale
KARMA ON THE ROAD APS;Via San Quirico, 8;Assistenziale
VIVISANGIORGIO;via Santini, 46;Ricreativa
CIRCOLO GIUSTINIANO NOI - PALAZZOLO;via Bellaria, 2;Ricreativa
ARTE E';Piazza Chiesa, 4;Ricreativa
VESPA CLUB LUGAGNANO;Via Case Nuove, 8;Ricreativa
ASS. CULT.  CENTOPERCENTO500;Via Di Mezzo, 52;Ricreativa
AGESCI GRUPPO LUGAGNANO 1;Via B. Powell 1;Ricreativa
GRUPPO TEMPO LIBERO ANZIANI;VIA CADUTI DEL LAVORO, 1;Ricreativa
ASSOCIAZIONE BERSAGLIERI SONA;VIA R.KENNEDY,6;Arma
GRUPPO ALPINI LUGAGNANO;VIA CADUTI DEL LAVORO, 4;Arma
Ass.Nazionale Combattenti e Reduci - Palazzolo;Via IV Novembre, 37;Arma
GRUPPO ALPINI SAN GIORGIO IN SALICI;Via Tiziano, 52;Arma
SEZIONE FANTI DI LUGAGNANO;via Salazzari, 141;Arma
GRUPPO ALPINI DI SONA;Via Roma, 25;Arma

